[26.11.2024, 09:30:07] Саян Комик: ‎Your security code with Саян Комик changed.
‎[09.01.2025, 21:25:19] Акнур: ‎image omitted
[09.01.2025, 21:27:25] Саян Комик: Ебать впга жиберетн болгансын ба мем
[09.01.2025, 21:27:36] Акнур: Ну а хули
[09.01.2025, 21:27:41] Саян Комик: Скуфиха
[09.01.2025, 21:27:49] Саян Комик: Ещё открытку отправь
‎[09.01.2025, 21:27:55] Акнур: ‎sticker omitted
‎[09.01.2025, 21:28:06] Саян Комик: ‎sticker omitted
‎[09.01.2025, 21:28:09] Саян Комик: ‎sticker omitted
[09.01.2025, 21:28:12] Акнур: Бляя
[09.01.2025, 21:28:14] Акнур: Это ж скоро
‎[09.01.2025, 21:28:42] Саян Комик: ‎sticker omitted
‎[09.01.2025, 21:28:50] Саян Комик: ‎sticker omitted
‎[17.01.2025, 22:55:42] Акнур: ‎image omitted
‎[17.01.2025, 22:55:59] Акнур: ‎image omitted
[17.01.2025, 23:14:33] Саян Комик: Ебать
[17.01.2025, 23:14:36] Саян Комик: Чё за кроссовер
[17.01.2025, 23:14:49] Саян Комик: Попроси его ушами фокус показать
[17.01.2025, 23:14:51] Саян Комик: Ахаххааха
‎[17.01.2025, 23:18:54] Акнур: ‎audio omitted
‎[18.01.2025, 00:00:40] Саян Комик: ‎video note omitted
‎[18.01.2025, 00:03:03] Акнур: ‎video omitted
[18.01.2025, 00:04:45] Саян Комик: Ахахаха
[18.01.2025, 00:06:45] Акнур: Саян
[18.01.2025, 00:06:46] Акнур: Блеять
[18.01.2025, 00:06:52] Акнур: Ты знаком с его девушкой
[18.01.2025, 00:06:53] Акнур: Ты где
[18.01.2025, 00:12:07] Саян Комик: С девушкой не знаком
[18.01.2025, 00:12:13] Саян Комик: С женой да
[18.01.2025, 00:12:39] Акнур: Але
[18.01.2025, 00:12:50] Акнур: У тебя девушка разве не с НУ?
[18.01.2025, 00:12:53] Акнур: И жена
[18.01.2025, 00:19:34] Саян Комик: Не
[18.01.2025, 00:19:59] Саян Комик: Жены пока нет
[18.01.2025, 00:20:48] Саян Комик: Ты чё в ате
[18.01.2025, 00:20:51] Саян Комик: Или в аст?
‎[18.01.2025, 00:23:16] Акнур: ‎audio omitted
‎[18.01.2025, 00:23:24] Акнур: ‎audio omitted
[18.01.2025, 00:30:34] Саян Комик: Атымнан сойлемендер э
[18.01.2025, 00:30:35] Саян Комик: Ахаха
[18.01.2025, 00:30:36] Саян Комик: Вы где
[18.01.2025, 00:32:50] Акнур: В Барму гоу
[18.01.2025, 00:33:48] Саян Комик: Мне пока тут весело
