[16.01.2025, 16:57:08] Алибек: ‎Your security code with Алибек changed.
[16.04.2025, 21:31:37] Акнур: Бляяя
[16.04.2025, 21:31:39] Акнур: Зайдите в инсту
[16.04.2025, 21:31:47] Алибек: 😂😂😂
[16.04.2025, 21:31:52] Акнур: Срочно
[16.04.2025, 21:31:53] Акнур: Сукааа
[22.04.2025, 16:13:32] Алибек: Акнурик
[22.04.2025, 16:13:36] Алибек: Мага не рядом?
[22.04.2025, 16:13:42] Алибек: Привет)
[22.04.2025, 16:21:06] Алибек: ‎Missed voice call  ‎Click to call back
[22.04.2025, 16:29:05] Акнур: ‎Voice call  ‎49 sec
[22.04.2025, 19:43:37] Алибек: Мага проснулся)
[22.04.2025, 19:43:41] Акнур: 🤣🤣
[22.04.2025, 19:43:43] Акнур: Алилуя
[22.04.2025, 19:43:48] Алибек: 😂😂😂
[02.05.2025, 14:13:49] Акнур: ‎Video call  ‎No answer
[02.05.2025, 14:14:25] Акнур: Вы че трахаетесь
[02.05.2025, 14:14:26] Акнур: Или че
[04.05.2025, 12:55:57] Алибек: ‎Video call  ‎2 min
[07.05.2025, 11:52:54] Алибек: ‎Missed video call  ‎Click to call back
[07.05.2025, 11:54:25] Акнур: ‎Video call  ‎6 min
[07.05.2025, 13:21:09] Акнур: Алиба
[07.05.2025, 13:21:11] Акнур: Импланты
[07.05.2025, 13:21:16] Акнур: Какая фирма
[07.05.2025, 13:21:48] Алибек: Селимед)
[07.05.2025, 13:21:52] Алибек: А что?
[07.05.2025, 13:22:25] Алибек: Был ещё мотива и себер
[07.05.2025, 13:22:32] Акнур: Просто с магой сидим
[07.05.2025, 13:22:34] Акнур:
‎[07.05.2025, 13:22:34] Акнур: ‎<attached: -0000790-PHOTO-2025-05-07-13-22-34.jpg>
‎[07.05.2025, 13:22:34] Акнур: ‎<attached: -0000789-PHOTO-2025-05-07-13-22-34.jpg>
[07.05.2025, 13:22:41] Акнур: Алло бизнес?
[07.05.2025, 13:22:42] Акнур: Да да деньги
[07.05.2025, 13:22:49] Алибек: Топовые очки😂
[07.05.2025, 13:23:07] Акнур: Да сделаю фотки
[07.05.2025, 13:23:09] Акнур: Ща на улице
‎[12.05.2025, 20:08:32] Акнур: ‎<attached: -0000783-PHOTO-2025-05-12-20-08-32.jpg>
[12.05.2025, 20:08:38] Акнур: Это что такое
[12.05.2025, 20:08:51] Акнур: Мне на почту приходит код
[12.05.2025, 20:08:58] Алибек: Кто-то хочет в твою инсту попасть зайти
‎[12.05.2025, 20:09:15] Акнур: ‎<attached: -0000779-AUDIO-2025-05-12-20-09-15.opus>
[12.05.2025, 20:09:57] Акнур: А нет потерялся
[12.05.2025, 20:09:59] Акнур: Обратно
[12.05.2025, 20:10:33] Алибек: Двухфакторную сделай
[12.05.2025, 20:10:38] Акнур: Ничего страшного?
[12.05.2025, 20:10:39] Алибек: И телефон прикрепи
[12.05.2025, 20:10:46] Алибек: И заскринь резервные коды
[12.05.2025, 20:10:46] Акнур: Это как
[12.05.2025, 20:10:54] Алибек: Вживую покажу
[12.05.2025, 20:10:57] Алибек: Как приедешь
