[22.10.2024, 22:40:16] Аселек💕: ‎Your security code with Аселек💕 changed.
[25.12.2024, 12:19:26] Акнур: Зайди
[25.12.2024, 12:19:27] Акнур: Срочно
[25.12.2024, 12:19:28] Акнур: В инсту
[09.06.2025, 16:45:11] Аселек💕: Че там
[09.06.2025, 17:09:24] Акнур: Ербол пришел
[09.06.2025, 17:09:24] Акнур: Ночью
[09.06.2025, 17:09:24] Акнур: И признался в любви
[09.06.2025, 17:09:24] Акнур: И назвал нас псевдоэскортницей
[09.06.2025, 17:09:24] Акнур: 🤣🤣🤣🤣🤣
[09.06.2025, 17:09:24] Акнур: Ты и твоя алуа твоя компашка девочки
[09.06.2025, 17:09:24] Акнур: Математика не сходится как вы и на что живете
[09.06.2025, 17:09:24] Акнур: Лер
[09.06.2025, 17:09:24] Акнур: Деп
[09.06.2025, 17:09:24] Акнур: Как вы путешествуете
[09.06.2025, 17:09:24] Акнур: Как вы юзаете парней
[09.06.2025, 17:09:24] Акнур: Вы на счет не скидывайтесь
[09.06.2025, 17:09:24] Акнур: Не скидываетесь
[09.06.2025, 17:09:24] Акнур: За вас всегда кто то платит
[09.06.2025, 17:09:24] Акнур: Деп
[09.06.2025, 17:09:24] Акнур: У вас какая то есть уверенность
[09.06.2025, 17:09:24] Акнур: Что кто то по любому счет
[09.06.2025, 17:09:24] Акнур: Закроет
[09.06.2025, 17:09:24] Акнур: Псевдоэскортникские движение
[09.06.2025, 17:09:24] Акнур: Напрягает меня
[09.06.2025, 17:09:24] Акнур: Дейды
[09.06.2025, 17:09:24] Акнур: Твои
[09.06.2025, 17:09:24] Акнур: Поэтому не предлагаю
[09.06.2025, 17:09:24] Акнур: Встречаться
[09.06.2025, 17:09:24] Акнур: Дейды
[09.06.2025, 17:09:24] Акнур: Я смогу ли закрывать твои хотелки ведь я буду твоим карманом
[09.06.2025, 17:09:24] Акнур: Потом
[09.06.2025, 17:09:24] Акнур: Если начнем встречаться
[09.06.2025, 17:09:24] Акнур: Дейды
[09.06.2025, 17:09:52] Аселек💕: Иеееее
[09.06.2025, 17:10:11] Аселек💕: Это как?
[09.06.2025, 17:10:31] Аселек💕: Не мынау блять
[09.06.2025, 17:10:35] Аселек💕: Мужик для чего воще
[09.06.2025, 17:10:44] Аселек💕: Псевдоэккортница калай бул?
[09.06.2025, 17:12:05] Акнур: Вот
[09.06.2025, 17:12:08] Акнур: Путешествовать
[09.06.2025, 17:12:11] Акнур: Откуда бабки
[09.06.2025, 17:12:23] Аселек💕: вы ж работаете
[09.06.2025, 17:12:31] Аселек💕: Маган честно барибир у кого откуда деньги
[09.06.2025, 17:12:35] Аселек💕: если его это смущает
[09.06.2025, 17:12:38] Аселек💕: пошел нах
[09.06.2025, 17:12:40] Акнур: Гулянки тусовки путешествие математика не сходится
[09.06.2025, 17:12:56] Акнур: Неуверенность
[09.06.2025, 17:13:03] Аселек💕: ну
[09.06.2025, 17:13:07] Аселек💕: кайтед откуда у тебя деньги
[09.06.2025, 17:13:20] Акнур: Он думает я смогу все покрывать тебе
[09.06.2025, 17:13:20] Акнур: Потом
[09.06.2025, 17:13:22] Акнур: Или нет
[09.06.2025, 17:13:24] Акнур: Позволить себе
[09.06.2025, 17:13:25] Акнур: Это
[09.06.2025, 17:13:26] Аселек💕: даже родаки не интересуются же
[09.06.2025, 17:13:26] Акнур: Деп
[09.06.2025, 17:13:47] Аселек💕: он сможет?
[09.06.2025, 17:13:51] Акнур: Блмейм
[09.06.2025, 17:13:52] Акнур: Блеаааа
[09.06.2025, 17:13:54] Аселек💕: или бишара ма?
[09.06.2025, 17:14:02] Аселек💕: Кайда жумыс жасайды?
[09.06.2025, 17:14:10] Аселек💕: Я вот знаю что Диас и Дияр меня смогли бы содержать
[09.06.2025, 17:14:15] Аселек💕: Диярда 2 жумыс
[09.06.2025, 17:14:21] Аселек💕: Диаста 3 жумыс🤣
[09.06.2025, 17:14:30] Аселек💕: Диас каждый месяц тусит по странам
[12.06.2025, 17:20:22] Акнур: Сен кашан босайсын
[12.06.2025, 17:20:23] Акнур: Бугин
[12.06.2025, 17:20:41] Аселек💕: после 11 наверно
но потом свиданка
[12.06.2025, 17:20:41] Акнур: Пораньше босайтын Кунин бар ма
[12.06.2025, 17:20:43] Аселек💕: а шо?
[12.06.2025, 17:20:45] Акнур: капеееец
[12.06.2025, 17:20:46] Акнур: Че так поздно
